iter	Passed	Remaining
213	1375	5053
214	1381	5045
215	1387	5036
216	1394	5031
217	1401	5026
218	1407	5019
219	1412	5009
220	1418	4998
221	1423	4989
222	1429	4979
223	1434	4968
224	1439	4959
225	1444	4948
226	1450	4938
227	1455	4928
228	1460	4918
229	1466	4908
230	1471	4899
231	1476	4889
232	1482	4879
233	1487	4869
234	1492	4860
235	1498	4851
236	1504	4842
237	1509	4833
238	1515	4825
239	1520	4816
240	1526	4806
241	1531	4798
242	1537	4788
243	1542	4778
244	1547	4769
245	1552	4759
246	1558	4750
247	1563	4741
248	1568	4731
249	1574	4723
250	1579	4713
251	1585	4705
252	1590	4696
253	1595	4686
254	1601	4677
255	1606	4669
256	1612	4663
257	1618	4654
258	1623	4644
259	1628	4636
260	1634	4627
261	1639	4619
262	1645	4610
263	1650	4602
264	1656	4595
265	1662	4586
266	1667	4577
267	1672	4568
268	1677	4559
269	1683	4551
270	1688	4542
271	1694	4534
272	1699	4525
273	1704	4516
274	1710	4508
275	1716	4501
276	1721	4492
277	1726	4484
278	1732	4475
279	1737	4466
280	1742	4458
281	1747	4449
282	1753	4442
283	1758	4434
284	1764	4426
285	1769	4418
286	1774	4409
287	1780	4401
288	1785	4392
289	1790	4384
290	1796	4376
291	1801	4368
292	1806	4360
293	1812	4352
294	1817	4344
295	1823	4337
296	1829	4330
297	1834	4322
298	1840	4314
299	1845	4305
300	1850	4298
301	1856	4291
302	1861	4283
303	1867	4274
304	1873	4269
305	1879	4262
306	1884	4254
307	1890	4247
308	1895	4239
309	1901	4232
310	1907	4225
311	1912	4218
312	1918	4210
313	1924	4203
314	1930	4197
315	1935	4189
316	1941	4182
317	1946	4174
318	1951	4166
319	1957	4158
320	1962	4151
321	1968	4143
322	1973	4136
323	1978	4128
324	1984	4120
325	1989	4113
326	1994	4105
327	1999	4097
328	2005	4089
329	2010	4081
330	2015	4074
331	2020	4066
332	2026	4059
333	2032	4052
334	2037	4045
335	2043	4038
336	2049	4032
337	2054	4024
338	2060	4017
339	2066	4010
340	2072	4004
341	2077	3996
342	2082	3989
343	2088	3982
344	2093	3974
345	2098	3967
346	2104	3959
347	2109	3952
348	2114	3945
349	2120	3937
350	2125	3930
351	2131	3923
352	2137	3916
353	2142	3909
354	2148	3902
355	2153	3895
356	2159	3888
357	2164	3881
358	2169	3874
359	2175	3866
360	2180	3859
361	2186	3852
362	2191	3845
363	2196	3838
364	2202	3831
365	2207	3824
366	2213	3817
367	2218	3810
368	2224	3803
369	2229	3796
370	2235	3789
371	2240	3782
372	2246	3775
373	2251	3769
374	2257	3762
375	2262	3755
376	2268	3747
377	2273	3740
378	2278	3733
379	2284	3726
380	2289	3719
381	2295	3713
382	2300	3706
383	2306	3699
384	2311	3692
385	2316	3685
386	2322	3678
387	2328	3672
388	2333	3665
389	2338	3658
390	2344	3651
391	2350	3645
392	2355	3638
393	2361	3632
394	2366	3625
395	2372	3618
396	2377	3611
397	2383	3604
398	2388	3598
399	2394	3591
400	2399	3584
401	2405	3577
402	2410	3570
403	2416	3565
404	2422	3559
405	2428	3553
406	2434	3547
407	2441	3542
408	2447	3536
409	2453	3530
410	2458	3523
411	2464	3517
412	2470	3510
413	2475	3503
414	2480	3497
415	2486	3490
416	2491	3483
